Contexto,Entidad,Abreviatura
"Secretaría de Comunicaciones y Transportes (en lo sucesivo, la Secretaría)","Secretaría de Comunicaciones y Transportes ","en lo sucesivo, la Secretaría"
"Teléfonos de México, S.A.B. de C.V. (en lo sucesivo, Telmex)","Teléfonos de México, S.A.B. de C.V. ","en lo sucesivo, Telmex"
"Comisión Federal de Telecomunicaciones (en lo sucesivo, la Comisión)","Comisión Federal de Telecomunicaciones ","en lo sucesivo, la Comisión"
"Ley Federal de Telecomunicaciones (en lo sucesivo, la LFT”)","Ley Federal de Telecomunicaciones ","en lo sucesivo, la LFT”"
"Plan Técnico Fundamental de Interconexión e Interoperabilidad, (en lo sucesivo, el Plan de Interconexión)","Plan Técnico Fundamental de Interconexión e Interoperabilidad, ","en lo sucesivo, el Plan de Interconexión"
"Regla Decimaquinta de las Reglas del Servicio Local (en lo sucesivo, las RdSL)","Regla Decimaquinta de las Reglas del Servicio Local ","en lo sucesivo, las RdSL"
"Servicio Local (en lo sucesivo, ASL)","Servicio Local ","en lo sucesivo, ASL"
"Servicio Local ('ASL ')","Servicio Local ","'ASL '"
"Código Federal de Procedimientos Civiles (en lo sucesivo, el CFPC)","Código Federal de Procedimientos Civiles ","en lo sucesivo, el CFPC"
"Reglas del Servicio de Larga Distancia (en lo sucesivo, las RSLD)","Reglas del Servicio de Larga Distancia ","en lo sucesivo, las RSLD"
