Contexto,Entidad,Abreviatura
"Secretaría de Comunicaciones y Transportes (la “Secretaría”)","Secretaría de Comunicaciones y Transportes ","la “Secretaría”"
"“Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o., 7o., 27, 28, 73, 78, 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos, en materia de telecomunicaciones” (el “Decreto de Reforma Constitucional”)","“Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o., 7o., 27, 28, 73, 78, 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos, en materia de telecomunicaciones” ","el “Decreto de Reforma Constitucional”"
"Instituto Federal de Telecomunicaciones (el “Instituto”)","Instituto Federal de Telecomunicaciones ","el “Instituto”"
"Constitución Política de los Estados Unidos Mexicanos (la “Constitución”)","Constitución Política de los Estados Unidos Mexicanos ","la “Constitución”"
"“Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión, y la Ley del Sistema Público de Radiodifusión del Estado Mexicano; y se reforman, adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión” (el “Decreto de Ley”)","“Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión, y la Ley del Sistema Público de Radiodifusión del Estado Mexicano; y se reforman, adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión” ","el “Decreto de Ley”"
"Ley Federal de Telecomunicaciones y Radiodifusión (la “Ley”)","Ley Federal de Telecomunicaciones y Radiodifusión ","la “Ley”"
"Ley Federal de Telecomunicaciones (la “LFT”)","Ley Federal de Telecomunicaciones ","la “LFT”"
"“Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Derechos”, mismo que entraría en vigor el 1° de enero de 2016, resultaba pertinente que a partir de esa fecha, dejará de aplicarse el “Acuerdo mediante el cual el Pleno del Instituto Federal de Telecomunicaciones fija el monto de los aprovechamientos que deberán cobrarse por la prestación de diversos servicios públicos en el ejercicio de sus funciones de derecho público por los que no se establece monto específico en la Ley Federal de Derechos” (el “Acuerdo de Pago de Aprovechamientos”)","“Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Derechos”, mismo que entraría en vigor el 1° de enero de 2016, resultaba pertinente que a partir de esa fecha, dejará de aplicarse el “Acuerdo mediante el cual el Pleno del Instituto Federal de Telecomunicaciones fija el monto de los aprovechamientos que deberán cobrarse por la prestación de diversos servicios públicos en el ejercicio de sus funciones de derecho público por los que no se establece monto específico en la Ley Federal de Derechos” ","el “Acuerdo de Pago de Aprovechamientos”"
"Diario Oficial de la Federación (DOF)","Diario Oficial de la Federación ","DOF"
"“Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o., 7o., 27, 28, 73, 78, 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos, en materia de telecomunicaciones.” (Decreto de Reforma Constitucional)","“Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 6o., 7o., 27, 28, 73, 78, 94 y 105 de la Constitución Política de los Estados Unidos Mexicanos, en materia de telecomunicaciones.” ","Decreto de Reforma Constitucional"
"Instituto Federal de Telecomunicaciones (Instituto)","Instituto Federal de Telecomunicaciones ","Instituto"
"“Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión, y la Ley del Sistema Público de Radiodifusión del Estado Mexicano; y se reforman, adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión.” (Decreto de Ley)","“Decreto por el que se expiden la Ley Federal de Telecomunicaciones y Radiodifusión, y la Ley del Sistema Público de Radiodifusión del Estado Mexicano; y se reforman, adicionan y derogan diversas disposiciones en materia de telecomunicaciones y radiodifusión.” ","Decreto de Ley"
