Contexto,Ley,Artículos,Fracciones
"Como consecuencia de lo anterior, Axtel manifiesta que Telmex y Telnor no han tenido la intención de pactar las condiciones de interconexión que les fueron propuestas, por lo que habiendo transcurrido en exceso los 60 (sesenta) días establecidos por el artículo 42 de la Ley Federal de Telecomunicaciones (en lo sucesivo, la "LFT”), sin que las partes hayan podido convenir los términos planteados, y más aún, Telmex y Telnor han señalado expresamente que los términos y condiciones solicitados por Axtel son improcedentes, es que existe un desacuerdo entre las partes.","Ley Federal de Telecomunicaciones","42",""
"PRIMERO.- Competencia. Que de conformidad con los artículos 17 y 36 de la Ley Orgánica de la Administración Pública Federal y 9-A de la LFT, en relación con los artículos 2 fracción XXX y 40 del Reglamento Interior de la Secretaría de Comunicaciones y Transportes, la Comisión es un órgano administrativo desconcentrado de la Secretaría con autonomía técnica, operativa, de gasto y de gestión, encargado de regular, promover y supervisar el desarrollo eficiente y la cobertura social amplia de las telecomunicaciones y la radiodifusión en México, con autonomía plena para el dictado de sus resoluciones;","Ley Orgánica de ","17",""
"PRIMERO.- Competencia. Que de conformidad con los artículos 17 y 36 de la Ley Orgánica de la Administración Pública Federal y 9-A de la LFT, en relación con los artículos 2 fracción XXX y 40 del Reglamento Interior de la Secretaría de Comunicaciones y Transportes, la Comisión es un órgano administrativo desconcentrado de la Secretaría con autonomía técnica, operativa, de gasto y de gestión, encargado de regular, promover y supervisar el desarrollo eficiente y la cobertura social amplia de las telecomunicaciones y la radiodifusión en México, con autonomía plena para el dictado de sus resoluciones;","Ley Orgánica de ","36",""
"PRIMERO.- Competencia. Que de conformidad con los artículos 17 y 36 de la Ley Orgánica de la Administración Pública Federal y 9-A de la LFT, en relación con los artículos 2 fracción XXX y 40 del Reglamento Interior de la Secretaría de Comunicaciones y Transportes, la Comisión es un órgano administrativo desconcentrado de la Secretaría con autonomía técnica, operativa, de gasto y de gestión, encargado de regular, promover y supervisar el desarrollo eficiente y la cobertura social amplia de las telecomunicaciones y la radiodifusión en México, con autonomía plena para el dictado de sus resoluciones;","LFT","17",""
"PRIMERO.- Competencia. Que de conformidad con los artículos 17 y 36 de la Ley Orgánica de la Administración Pública Federal y 9-A de la LFT, en relación con los artículos 2 fracción XXX y 40 del Reglamento Interior de la Secretaría de Comunicaciones y Transportes, la Comisión es un órgano administrativo desconcentrado de la Secretaría con autonomía técnica, operativa, de gasto y de gestión, encargado de regular, promover y supervisar el desarrollo eficiente y la cobertura social amplia de las telecomunicaciones y la radiodifusión en México, con autonomía plena para el dictado de sus resoluciones;","LFT","36",""
"Que de conformidad con los artículos 7 fracción II, 9-A fracciones I y X y 9-B de la LFT, en relación con los artículos 9 del Plan Técnico Fundamental de Interconexión e Interoperabilidad, (en lo sucesivo, el "Plan de Interconexión") 9  fracción VIII del Reglamento Interno de la Comisión Federal de Telecomunicaciones, el Pleno de la Comisión como órgano de gobierno de la misma, está facultado para expedir disposiciones administrativas, para promover y vigilar la eficiente interconexión de los equipos y redes públicas de telecomunicaciones, así como determinar las condiciones que en materia de interconexión no hayan podido convenirse entre los concesionarios de redes públicas de telecomunicaciones, por lo tanto, cuenta con facultades suficientes para emitir la presente Resolución.","LFT","9",""
"De lo anterior, se desprende que la falta de interconexión resultaría notoriamente contraria al objetivo de interés público plasmado en el artículo 7 de la LFT, consistente en promover el desarrollo eficiente de las telecomunicaciones para que a través de la sana competencia en el sector, los usuarios tengan acceso a una mayor diversidad y oferta de servicios en mejores condiciones de calidad y precio.","LFT","7",""
"Por ello, el legislador estableció (i) la obligación de todos los concesionarios de redes públicas de telecomunicaciones de adoptar diseños de arquitectura abierta para permitir la interconexión e interoperabilidad de sus redes, contenida en el artículo 41 de la LFT, (ii) la obligación de los concesionarios de redes públicas de interconectar sus redes de conformidad con lo establecido en el artículo 42 de la LFT, y (iii) como causal de revocación inmediata de la concesión. La negativa de un concesionario a interconectar su red con la de otros concesionarios sin causa justificada, referida en el artículo 38 fracción V de la LFT.","LFT","41",""
"Por ello, el legislador estableció (i) la obligación de todos los concesionarios de redes públicas de telecomunicaciones de adoptar diseños de arquitectura abierta para permitir la interconexión e interoperabilidad de sus redes, contenida en el artículo 41 de la LFT, (ii) la obligación de los concesionarios de redes públicas de interconectar sus redes de conformidad con lo establecido en el artículo 42 de la LFT, y (iii) como causal de revocación inmediata de la concesión. La negativa de un concesionario a interconectar su red con la de otros concesionarios sin causa justificada, referida en el artículo 38 fracción V de la LFT.","LFT","41",""
"Por ello, el legislador estableció (i) la obligación de todos los concesionarios de redes públicas de telecomunicaciones de adoptar diseños de arquitectura abierta para permitir la interconexión e interoperabilidad de sus redes, contenida en el artículo 41 de la LFT, (ii) la obligación de los concesionarios de redes públicas de interconectar sus redes de conformidad con lo establecido en el artículo 42 de la LFT, y (iii) como causal de revocación inmediata de la concesión. La negativa de un concesionario a interconectar su red con la de otros concesionarios sin causa justificada, referida en el artículo 38 fracción V de la LFT.","LFT","41",""
"TERCERO.- Obligatoriedad de la interconexión.- En el artículo 42 de la LFT quedó previsto que los concesionarios de redes públicas de telecomunicaciones tienen la obligación de interconectar sus redes cuando así les sea solicitado y. en todo caso, formalizarán dicha interconexión mediante la suscripción del convenio respectivo, Lo anterior pone de manifiesto que la LFT no prevé supuesto alguno que permita a los concesionarios de redes públicas de telecomunicaciones negarse a celebrar un convenio de interconexión tras la presentación de la solicitud de inicio de negociaciones. Una vez presentada ésta, los concesionarios involucrados deben negociar los términos, condiciones y tarifas de la interconexión, así como suscribir el convenio respectivo.","LFT","42",""
"El bien jurídico tutelado por los artículos 41 y 42 de la LFT es consumar la interconexión de redes públicas de telecomunicaciones para que los usuarios de la red A puedan comunicarse con los usuarios de la red B. Si no hubiere interconexión entre la red A y la red B. un usuario necesariamente tendría que contratar sus servicios con ambas redes para asegurar que su universo de llamadas llegue a su destino. En caso de no hacerlo de esta forma, sólo podría establecer comunicación con los usuarios que también hayan contratado sus servicios con la red que él haya contratado. Esta situación repercutiría en que si decisión para adquirir sus servicios estaría afectada sensiblemente por la cobertura de las redes haciendo a un lado criterios relacionados con precio, calidad y diversidad de servicios. Esto resultaría notoriamente contrario al objetivo de interés público plasmado en el artículo 7 de la LFT, consistente en promover el desarrollo eficiente de las telecomunicaciones.","LFT","41",""
"El bien jurídico tutelado por los artículos 41 y 42 de la LFT es consumar la interconexión de redes públicas de telecomunicaciones para que los usuarios de la red A puedan comunicarse con los usuarios de la red B. Si no hubiere interconexión entre la red A y la red B. un usuario necesariamente tendría que contratar sus servicios con ambas redes para asegurar que su universo de llamadas llegue a su destino. En caso de no hacerlo de esta forma, sólo podría establecer comunicación con los usuarios que también hayan contratado sus servicios con la red que él haya contratado. Esta situación repercutiría en que si decisión para adquirir sus servicios estaría afectada sensiblemente por la cobertura de las redes haciendo a un lado criterios relacionados con precio, calidad y diversidad de servicios. Esto resultaría notoriamente contrario al objetivo de interés público plasmado en el artículo 7 de la LFT, consistente en promover el desarrollo eficiente de las telecomunicaciones.","LFT","42",""
"El bien jurídico tutelado por los artículos 41 y 42 de la LFT es consumar la interconexión de redes públicas de telecomunicaciones para que los usuarios de la red A puedan comunicarse con los usuarios de la red B. Si no hubiere interconexión entre la red A y la red B. un usuario necesariamente tendría que contratar sus servicios con ambas redes para asegurar que su universo de llamadas llegue a su destino. En caso de no hacerlo de esta forma, sólo podría establecer comunicación con los usuarios que también hayan contratado sus servicios con la red que él haya contratado. Esta situación repercutiría en que si decisión para adquirir sus servicios estaría afectada sensiblemente por la cobertura de las redes haciendo a un lado criterios relacionados con precio, calidad y diversidad de servicios. Esto resultaría notoriamente contrario al objetivo de interés público plasmado en el artículo 7 de la LFT, consistente en promover el desarrollo eficiente de las telecomunicaciones.","LFT","41",""
"El bien jurídico tutelado por los artículos 41 y 42 de la LFT es consumar la interconexión de redes públicas de telecomunicaciones para que los usuarios de la red A puedan comunicarse con los usuarios de la red B. Si no hubiere interconexión entre la red A y la red B. un usuario necesariamente tendría que contratar sus servicios con ambas redes para asegurar que su universo de llamadas llegue a su destino. En caso de no hacerlo de esta forma, sólo podría establecer comunicación con los usuarios que también hayan contratado sus servicios con la red que él haya contratado. Esta situación repercutiría en que si decisión para adquirir sus servicios estaría afectada sensiblemente por la cobertura de las redes haciendo a un lado criterios relacionados con precio, calidad y diversidad de servicios. Esto resultaría notoriamente contrario al objetivo de interés público plasmado en el artículo 7 de la LFT, consistente en promover el desarrollo eficiente de las telecomunicaciones.","LFT","42",""
"Es así que el artículo 42 de la LFT es garante del derecho que asiste a los usuarios de servicios de telecomunicaciones de tener comunicación con usuarios conectados a otras redes públicas de telecomunicaciones, así como de poder utilizar servicios proporcionados por otras redes, lo cual se logra con la obligación de todo concesionario de interconectar su red para garantizar el citado derecho de los usuarios. El objetivo último de un convenio de interconexión es que mediante la interconexión de las redes públicas de telecomunicaciones, se privilegie el interés público al permitir que los usuarios de una red puedan comunicarse con los usuarios de otra red y viceversa, o utilizar servicios proporcionados por la otra red.","LFT","42",""
"Por ello, conforme al artículo 42 de la LFT Axtel, Telmex y Telnor' están obligados a interconectar sus respectivas redes públicas de telecomunicaciones, formalizando en todo caso dicha interconexión mediante la suscripción del convenio respectivo que estipule los términos, condiciones y tarifas aplicables, en el entendido que aquel concesionario que niegue la interconexión sin causa justificada, se sitúa en la causal de revocación inmediata de la concesión en términos de lo dispuesto por la fracción V del artículo 38 de la LFT.","LFT Axtel","42",""
"Por ello, conforme al artículo 42 de la LFT Axtel, Telmex y Telnor' están obligados a interconectar sus respectivas redes públicas de telecomunicaciones, formalizando en todo caso dicha interconexión mediante la suscripción del convenio respectivo que estipule los términos, condiciones y tarifas aplicables, en el entendido que aquel concesionario que niegue la interconexión sin causa justificada, se sitúa en la causal de revocación inmediata de la concesión en términos de lo dispuesto por la fracción V del artículo 38 de la LFT.","LFT","42",""
